StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,How easy was it to select your desired language? (Usability),Did Duolingo's Owl / Different characters make the different communities feel inclusive? (Inclusive),Did you find that any features were inaccessible? (Accessibility ),How was your overall experience on Duolingo?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID3""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID8_TEXT""}"
2026-03-12 17:04:52,2026-03-12 17:05:13,IP Address,137.111.13.165,100,21,True,2026-03-12 17:05:14,R_9V813MoF73gkUa5,,,,,-33.7894,151.0813,anonymous,EN,It was easy to find my desired language on the list,,ldld,
2026-03-12 17:06:37,2026-03-12 17:06:53,IP Address,137.111.13.126,100,16,True,2026-03-12 17:06:54,R_9YxDNJXhHZX8C3A,,,,,-33.7894,151.0813,anonymous,EN,It was easy to find my desired language on the list,Yes,no,good
2026-03-12 17:07:19,2026-03-12 17:08:52,IP Address,137.111.13.126,100,93,True,2026-03-12 17:08:53,R_81BXZL2bdilYk5r,,,,,-33.7894,151.0813,anonymous,EN,It was challenging and took some time to find my desired language on the list,Maybe,no,good
2026-03-12 17:14:31,2026-03-12 17:15:59,IP Address,137.111.13.126,100,87,True,2026-03-12 17:15:59,R_43oZ1PIORaEhwFH,,,,,-33.7894,151.0813,anonymous,EN,It was easy to find my desired language on the list,Maybe,"No, everything that I needed from the app was there.","Great experience, however some of the lessons feel quite repetitive.  "
2026-03-12 17:14:34,2026-03-12 17:16:01,IP Address,137.111.13.126,100,87,True,2026-03-12 17:16:02,R_9AEBR2rdHM1stQl,,,,,-33.7894,151.0813,anonymous,EN,It was easy to find my desired language on the list,Maybe,"As a new user I didn't have immediate access to any settings to accommodate accessibility needs. ",It felt easy to dive into but perhaps overly streamlined
2026-03-12 17:14:47,2026-03-12 17:16:37,IP Address,137.111.13.126,100,109,True,2026-03-12 17:16:37,R_4F2IoMg7B6CKgQh,,,,,-33.7894,151.0813,anonymous,EN,It was easy to find my desired language on the list,Maybe,"no
","great, I need the paid version tho"
2026-03-12 17:14:28,2026-03-12 17:16:47,IP Address,137.111.13.126,100,138,True,2026-03-12 17:16:47,R_4MM2zDZDU3x1PH7,,,,,-33.7894,151.0813,anonymous,EN,It was easy to find my desired language on the list,Maybe,no,"Really good
"
2026-03-12 17:14:30,2026-03-12 17:16:58,IP Address,137.111.13.126,100,147,True,2026-03-12 17:16:58,R_9dGhbmYYgs6B4Xp,,,,,-33.7894,151.0813,anonymous,EN,It was easy to find my desired language on the list,Maybe,No,It was okay.
2026-03-12 17:14:52,2026-03-12 17:17:12,IP Address,137.111.13.126,100,139,True,2026-03-12 17:17:12,R_4mlUVY4OBQtRHvd,,,,,-33.7894,151.0813,anonymous,EN,It was easy to find my desired language on the list,Yes,"Couldn't compete on leaderboards without finishing 9 lessons,.","Fun, felt like a game and easy to use."
2026-03-12 17:18:39,2026-03-12 17:18:56,IP Address,137.111.13.165,100,16,True,2026-03-12 17:18:56,R_4fqPUYRjVri9I3K,,,,,-33.7894,151.0813,anonymous,EN,It was easy to find my desired language on the list,Yes,No,Very good
2026-03-12 17:16:50,2026-03-12 17:18:57,IP Address,137.111.13.126,100,126,True,2026-03-12 17:18:57,R_9IT4JhpY9sUrelP,,,,,-33.7894,151.0813,anonymous,EN,It was easy to find my desired language on the list,Maybe,not really,"Easy to use and follow instructions, but having issues to navigate back the home screen"
2026-03-12 17:21:14,2026-03-12 17:21:31,IP Address,137.111.13.126,100,16,True,2026-03-12 17:21:31,R_47Jw74dWLBSqBzi,,,,,-33.7894,151.0813,anonymous,EN,It was easy to find my desired language on the list,Yes,maybe the size of the icons,very good
2026-03-12 17:21:18,2026-03-12 17:21:52,IP Address,137.111.13.126,100,34,True,2026-03-12 17:21:53,R_9QhqE4ChZugBvhJ,,,,,-33.7894,151.0813,anonymous,EN,It was easy to find my desired language on the list,Maybe,,Negative
2026-03-12 17:21:50,2026-03-12 17:22:20,IP Address,137.111.13.126,100,30,True,2026-03-12 17:22:21,R_9rZXwsdDDMBNP8S,,,,,-33.7894,151.0813,anonymous,EN,It was easy to find my desired language on the list,Maybe,no,good
